gene	full V(G)/Vp	full Pval	full fdr	full n	nonhla V(G)/Vp	nonhla Pval	nonhla fdr	hla V(G)/Vp	hla Pval	hla fdr
IL1B	0.100129	0.00013929	0.004345468333333334	7173.0	0.099642	0.00014339	0.0017735078947368418	0.001127	0.3113601	0.5000001
MICB	0.16578900000000002	0.00013794	0.004345468333333334	7173.0	1e-06	0.5000001	0.5000001	0.084307	1e-07	1.4011570882352941e-06
LNPEP	0.108305	0.00015469	0.0043610680769230765	7173.0	0.11489400000000001	0.00010571	0.0013801027777777778	0.000468	0.3877101	0.5000001
RAB35	0.11276300000000002	0.00015018	0.0043610680769230765	7173.0	0.117396	0.00010234	0.0013801027777777778	1e-06	0.5000001	0.5000001
PIK3CG	0.093002	0.0002073	0.0056278111111111116	7173.0	0.103308	9.2715e-05	0.0013801027777777778	1e-06	0.5000001	0.5000001
DBNDD1	0.170173	0.0003557	0.009311717857142857	7173.0	0.179056	0.00018041000000000002	0.0021198175	1e-06	0.5000001	0.5000001
VSIG4	0.105163	0.00038176	0.009649313103448276	7173.0	0.11434200000000001	0.0002001	0.002239214285714286	1e-06	0.5000001	0.5000001
SLC25A40	0.105483	0.00043397	0.010603333666666666	7173.0	0.105255	0.00047019	0.0038154275862068965	0.002653	0.12799010000000002	0.5000001
CYBB	0.092721	0.00047034	0.011121265161290323	7173.0	0.097401	0.000324	0.0034609090909090913	1e-06	0.5000001	0.5000001
TREX1	0.093907	0.0005144899999999999	0.011785036562499998	7173.0	0.096489	0.00046781	0.0038154275862068965	0.001685	0.21669010000000002	0.5000001
SAMHD1	0.102604	0.00060733	0.012856296428571428	7173.0	0.110299	0.00036123	0.00353704375	1e-06	0.5000001	0.5000001
CD209	0.095542	0.00067923	0.012856296428571428	7173.0	0.09934	0.00056283	0.004266614516129032	0.00075	0.3744701	0.5000001
IFI6	0.16658399999999998	0.00066871	0.012856296428571428	7173.0	0.166633	0.0006496399999999999	0.004626224242424242	0.00013700000000000002	0.48788010000000004	0.5000001
LILRB4	0.086487	0.0007348599999999999	0.012856296428571428	7173.0	0.08851	0.00060931	0.004474620312499999	1e-06	0.5000001	0.5000001
SEC22B	0.17822000000000002	0.0006358799999999999	0.012856296428571428	7173.0	0.173277	0.0009621699999999999	0.0057976910256410255	0.001801	0.1965801	0.5000001
CD84	0.0897	0.0007222699999999999	0.012856296428571428	7173.0	0.097277	0.00041527000000000003	0.0038032038461538464	1e-06	0.5000001	0.5000001
BSG	0.097104	0.0006724299999999999	0.012856296428571428	7173.0	0.09590900000000001	0.00078803	0.004873343421052632	0.00297	0.08850910000000001	0.5000001
CD163	0.09564500000000001	0.0007192899999999999	0.012856296428571428	7173.0	0.10646800000000001	0.0003414	0.003488217391304348	1e-06	0.5000001	0.5000001
GNPTAB	0.116102	0.0007366499999999999	0.012856296428571428	7173.0	0.117717	0.0006777799999999999	0.004684655882352941	0.00016999999999999999	0.46428010000000003	0.5000001
SEC24A	0.140986	0.0006388399999999999	0.012856296428571428	7173.0	0.145098	0.0005399399999999999	0.00422953	0.00082	0.3527601	0.5000001
CBX1	0.14188	0.00084503	0.014379794090909089	7173.0	0.151686	0.00042078	0.0038032038461538464	1e-06	0.5000001	0.5000001
SLC11A1	0.141478	0.00086318	0.014379794090909089	7173.0	0.150327	0.00047084	0.0038154275862068965	1e-06	0.5000001	0.5000001
DYNLT1	0.077888	0.0009007799999999999	0.014672705333333333	7173.0	0.08054700000000001	0.0007450299999999999	0.0048615148648648646	1e-06	0.5000001	0.5000001
MNDA	0.091533	0.0010582	0.016508095744680852	7173.0	0.09675299999999999	0.0007066799999999999	0.004744851428571428	1e-06	0.5000001	0.5000001
GPLD1	0.096451	0.0010585000000000002	0.016508095744680852	7173.0	0.102932	0.00076543	0.0048615148648648646	0.000197	0.46086010000000005	0.5000001
CHUK	0.120207	0.0012613000000000001	0.019261102083333335	7173.0	0.119146	0.0014666999999999998	0.007833511363636364	0.0017239999999999998	0.1783601	0.5000001
SH3BP5L	0.090962	0.0013715	0.020516520408163264	7173.0	0.088572	0.0015867	0.0079335	0.002355	0.2217001	0.5000001
EIF2AK1	0.096689	0.0015241	0.022343306	7173.0	0.101845	0.0011010000000000002	0.006468375000000001	1e-06	0.5000001	0.5000001
ALOX5AP	0.073645	0.0019470000000000002	0.02744521153846154	7173.0	0.076678	0.001518	0.007927333333333333	1e-06	0.5000001	0.5000001
PSMC1	0.09084500000000001	0.001914	0.02744521153846154	7173.0	0.097452	0.0013150000000000002	0.007357738095238096	1e-06	0.5000001	0.5000001
CD14	0.103814	0.0022605999999999998	0.030555628571428576	7173.0	0.11284000000000001	0.0012868	0.007357738095238096	1e-06	0.5000001	0.5000001
TAB1	0.144814	0.0023184	0.030555628571428576	7173.0	0.141033	0.0029793	0.013210103773584905	0.00233	0.20796009999999998	0.5000001
APITD1	0.15554500000000002	0.0022797	0.030555628571428576	7173.0	0.163952	0.0014512	0.007833511363636364	1e-06	0.5000001	0.5000001
FCGR3A	0.090164	0.0023344000000000004	0.030555628571428576	7173.0	0.096597	0.0015620000000000002	0.0079335	1e-06	0.5000001	0.5000001
PSMB7	0.071322	0.0028579	0.03644147413793103	7173.0	0.077783	0.0018122	0.008872229166666667	1e-06	0.5000001	0.5000001
HLA.H	0.12723199999999998	0.0028834999999999998	0.03644147413793103	7173.0	1e-06	0.5000001	0.5000001	0.038409	1e-07	1.4011570882352941e-06
RNF41	0.097354	0.0032511999999999992	0.04039202711864406	7173.0	0.09543099999999999	0.0039848	0.015871661016949156	0.00302	0.0901731	0.5000001
IGF2R	0.095202	0.0033392999999999995	0.04079511499999999	7173.0	0.098996	0.0027402	0.01262641176470588	1e-06	0.5000001	0.5000001
CTSW	0.121103	0.0034571	0.0415418737704918	7173.0	0.113299	0.007602600000000001	0.022266823170731708	0.0023420000000000003	0.04706010000000001	0.4808314565217392
TNFSF13B	0.099064	0.003637799999999999	0.043008183870967734	7173.0	0.100213	0.003437	0.01438488596491228	1e-06	0.5000001	0.5000001
IL10	0.083737	0.003897	0.044632828124999996	7173.0	0.086552	0.0031745	0.013814953703703703	1e-06	0.5000001	0.5000001
LYZ	0.113239	0.0038846999999999996	0.044632828124999996	7173.0	0.12265799999999999	0.0025145000000000002	0.012059336734693879	1e-06	0.5000001	0.5000001
SKIL	0.097999	0.004111700000000001	0.046367324615384634	7173.0	0.10213799999999999	0.0033452	0.014293127272727272	1e-06	0.5000001	0.5000001
PLOD2	0.11805	0.004182900000000001	0.04645554090909092	7173.0	0.11463499999999999	0.004932	0.01801799230769231	0.0008990000000000001	0.3613201	0.5000001
SEC31A	0.13984000000000002	0.0043197999999999995	0.04725990149253731	7173.0	0.137544	0.005179200000000001	0.01844109090909091	0.0015	0.2744101	0.5000001
MARCH1	0.083841	0.0044408	0.047869211764705884	7173.0	0.09196	0.002705	0.01262641176470588	1e-06	0.5000001	0.5000001
ISG15	0.130706	0.0046625	0.04953061594202898	7173.0	0.133381	0.0041188	0.016131966666666667	1e-06	0.5000001	0.5000001
CSF1R	0.073901	0.004945100000000001	0.05105293380281691	7173.0	0.077329	0.0038094	0.015434637931034483	1e-06	0.5000001	0.5000001
ERAP1	0.129074	0.0049217	0.05105293380281691	7173.0	0.130104	0.0046961	0.01779973387096774	0.000165	0.4764501	0.5000001
HAUS1	0.109856	0.005088700000000001	0.05180579305555556	7173.0	0.115807	0.0034890999999999998	0.01438488596491228	1e-06	0.5000001	0.5000001
AMPD3	0.08802	0.0052759999999999994	0.05297682191780821	7173.0	0.08391799999999999	0.0063444999999999994	0.0206883698630137	0.001137	0.2919101	0.5000001
CTNNB1	0.11402799999999999	0.0053838	0.053045744000000006	7173.0	0.117408	0.004780700000000001	0.017832769841269844	0.000562	0.3880901	0.5000001
TRAF6	0.10290899999999999	0.0054276	0.053045744000000006	7173.0	0.11634000000000001	0.0028054	0.01267825	1e-06	0.5000001	0.5000001
IDE	0.097412	0.005536	0.05339326315789474	7173.0	0.097314	0.0059719000000000005	0.020138157142857147	0.002147	0.1788801	0.5000001
COL8A1	0.085211	0.0057099	0.054231793670886076	7173.0	0.083203	0.0065515	0.020805439189189187	0.0016179999999999999	0.2426501	0.5000001
IL18	0.12331700000000001	0.0058449	0.054231793670886076	7173.0	0.11960499999999999	0.0076012000000000015	0.022266823170731708	0.001394	0.2206901	0.5000001
HACD2	0.064421	0.0057901	0.054231793670886076	7173.0	0.06701599999999999	0.004983700000000001	0.01801799230769231	1e-06	0.5000001	0.5000001
C3AR1	0.073478	0.0063999999999999994	0.05863999999999999	7173.0	0.079308	0.0043651	0.016816368852459018	1e-06	0.5000001	0.5000001
PSMD12	0.123678	0.0068456	0.06194845432098766	7173.0	0.116284	0.0107091	0.02706062903225806	0.004055	0.07041410000000001	0.5000001
SNRPA	0.07598200000000001	0.0073927	0.0660835256097561	7173.0	0.07101	0.0101791	0.026557809782608695	0.0029219999999999997	0.0779541	0.5000001
IFIT1	0.112571	0.007687	0.06788639759036144	7173.0	0.110133	0.0087091	0.024658295180722888	0.0017050000000000001	0.2975201	0.5000001
MRTO4	0.092467	0.007834299999999999	0.06836359404761903	7173.0	0.098593	0.005998600000000001	0.020138157142857147	1e-06	0.5000001	0.5000001
MYO1F	0.067161	0.008260899999999998	0.07123811411764705	7173.0	0.070899	0.0064266	0.0206883698630137	1e-06	0.5000001	0.5000001
TLR2	0.10180399999999999	0.0086921	0.0740849918604651	7173.0	0.111007	0.0054755	0.019205111940298506	1e-06	0.5000001	0.5000001
UQCR10	0.077487	0.0091106	0.07675942298850574	7173.0	0.081349	0.0076752999999999995	0.022266823170731708	1e-06	0.5000001	0.5000001
VAMP8	0.074597	0.0092404	0.07696833181818181	7173.0	0.079589	0.0072619	0.022266823170731708	1e-06	0.5000001	0.5000001
EP300	0.065733	0.0094473	0.0778075382022472	7173.0	0.073062	0.006356400000000001	0.0206883698630137	1e-06	0.5000001	0.5000001
PSMA4	0.083821	0.0101961	0.08036280967741935	7173.0	0.086719	0.0089147	0.02493993452380952	1e-06	0.5000001	0.5000001
BCCIP	0.06616799999999999	0.0100661	0.08036280967741935	7173.0	0.070735	0.0074233	0.022266823170731708	1e-06	0.5000001	0.5000001
HLA.B	0.102198	0.0099805	0.08036280967741935	7173.0	0.01766	0.3133401	0.3201518413043479	0.021905	1.000000004996e-07	1.4011570882352941e-06
MS4A4A	0.072425	0.010110099999999999	0.08036280967741935	7173.0	0.081436	0.005992200000000001	0.020138157142857147	1e-06	0.5000001	0.5000001
OAS3	0.107484	0.010986099999999999	0.08476643473684209	7173.0	0.100966	0.015166099999999998	0.03517265533980582	0.005473	0.0707271	0.5000001
NUTF2	0.078137	0.0109751	0.08476643473684209	7173.0	0.084717	0.0077697	0.022266823170731708	1e-06	0.5000001	0.5000001
HCK	0.064464	0.0111481	0.08512038854166666	7173.0	0.071623	0.0070664	0.022141386666666665	1e-06	0.5000001	0.5000001
BCAP31	0.060001	0.0114731	0.08669878659793814	7173.0	0.061297000000000004	0.011116099999999999	0.027790249999999996	0.00199	0.2284901	0.5000001
STAT1	0.07623300000000001	0.0119511	0.08848642727272728	7173.0	0.071871	0.015076099999999999	0.03517265533980582	0.0035619999999999996	0.1089901	0.5000001
IL2RA	0.066885	0.0118561	0.08848642727272728	7173.0	0.070498	0.0102001	0.026557809782608695	1e-06	0.5000001	0.5000001
DCTN5	0.07591	0.0123231	0.090328323	7173.0	0.065716	0.0226051	0.04150155078125	0.004443	0.0160051	0.20881728947368422
TNFRSF14	0.101816	0.012792099999999999	0.09283771584158414	7173.0	0.10994300000000001	0.009057099999999998	0.025040217647058816	1e-06	0.5000001	0.5000001
GPNMB	0.063703	0.013726099999999998	0.09809704095238096	7173.0	0.068146	0.0103971	0.026557809782608695	1e-06	0.5000001	0.5000001
TPRKB	0.06099400000000001	0.0140521	0.09809704095238096	7173.0	0.058587	0.0176491	0.03597140948275862	0.004056000000000001	0.03919810000000001	0.4187069772727274
ADCY7	0.07993099999999999	0.013804099999999998	0.09809704095238096	7173.0	0.08648099999999999	0.0093973	0.025383511494252876	1e-06	0.5000001	0.5000001
IL10RA	0.060264	0.013926099999999999	0.09809704095238096	7173.0	0.065134	0.010374099999999999	0.026557809782608695	1e-06	0.5000001	0.5000001
NPL	0.091426	0.0145301	0.10047701226415094	7173.0	0.10310699999999999	0.007743000000000001	0.022266823170731708	1e-06	0.5000001	0.5000001
PSMD4	0.070587	0.0154331	0.10130518125	7173.0	0.071262	0.0148721	0.03517265533980582	0.000983	0.3971501	0.5000001
CLEC4A	0.073866	0.0152311	0.10130518125	7173.0	0.077164	0.0125431	0.030077841836734693	1e-06	0.5000001	0.5000001
NOP16	0.048378	0.015479099999999999	0.10130518125	7173.0						
PLEK	0.058572000000000006	0.015357099999999999	0.10130518125	7173.0	0.062158000000000005	0.0122691	0.029724108247422682	1e-06	0.5000001	0.5000001
CAPZB	0.107199	0.014892099999999998	0.10130518125	7173.0	0.10553499999999999	0.0161141	0.03555357727272727	0.000927	0.3447401	0.5000001
CD86	0.064844	0.015108100000000001	0.10130518125	7173.0	0.0688	0.0116811	0.028895352631578948	1e-06	0.5000001	0.5000001
SNRPA1	0.057663	0.0157651	0.10205481842105264	7173.0	0.057291999999999996	0.0165531	0.03555357727272727	0.001623	0.2394701	0.5000001
OAS2	0.106255	0.0158721	0.10205481842105264	7173.0	0.105774	0.0161781	0.03555357727272727	0.000621	0.4208601	0.5000001
VAMP3	0.118373	0.0165821	0.10569286347826086	7173.0	0.12931199999999998	0.0093828	0.025383511494252876	1e-06	0.5000001	0.5000001
GSTCD	0.070957	0.0167281	0.10570428706896551	7173.0	0.06740299999999999	0.0209261	0.03965833467741935	0.003843	0.0689011	0.5000001
NUDT1	0.057351	0.0171431	0.1074007888888889	7173.0	0.06438200000000001	0.0118041	0.028895453125	1e-06	0.5000001	0.5000001
KLRD1	0.062641	0.0187311	0.11451353583333332	7173.0	0.065282	0.016601099999999997	0.03555357727272727	1e-06	0.5000001	0.5000001
NCF2	0.066423	0.0185421	0.11451353583333332	7173.0	0.069245	0.015416099999999999	0.03517265533980582	1e-06	0.5000001	0.5000001
IFI44L	0.09845	0.0187471	0.11451353583333332	7173.0	0.097828	0.0192631	0.0380405756302521	0.000395	0.4409601	0.5000001
CD80	0.077098	0.019044099999999998	0.11536632479338842	7173.0	0.08125800000000001	0.016195099999999997	0.03555357727272727	1e-06	0.5000001	0.5000001
IL21R	0.052149	0.019245099999999998	0.11562834672131146	7173.0	0.053424	0.0177561	0.03597140948275862	1e-06	0.5000001	0.5000001
CD68	0.069035	0.0198951	0.11856185609756097	7173.0	0.073477	0.015271100000000001	0.03517265533980582	1e-06	0.5000001	0.5000001
CPA3	0.070922	0.0203021	0.12001160725806452	7173.0	0.07521599999999999	0.0165941	0.03555357727272727	1e-06	0.5000001	0.5000001
LILRB2	0.082976	0.0206461	0.1210687304	7173.0	0.087	0.017320099999999998	0.03597140948275862	1e-06	0.5000001	0.5000001
PSMD11	0.080924	0.0220251	0.1281301452380952	7173.0	0.087588	0.016642099999999996	0.03555357727272727	1e-06	0.5000001	0.5000001
NOTCH2	0.055383	0.0222281	0.12829289212598427	7173.0	0.0592	0.017480100000000002	0.03597140948275862	1e-06	0.5000001	0.5000001
SLAMF7	0.062297000000000005	0.0225961	0.12939797890625002	7173.0	0.064187	0.0208191	0.03965833467741935	1e-06	0.5000001	0.5000001
RNASE6	0.05488	0.023942099999999997	0.13604309534883718	7173.0	0.060584000000000006	0.0173371	0.03597140948275862	1e-06	0.5000001	0.5000001
IL7R	0.055666	0.0252341	0.14119538396946565	7173.0	0.061328	0.0187091	0.03725964830508475	1e-06	0.5000001	0.5000001
ITGB2	0.055873	0.025167099999999998	0.14119538396946565	7173.0	0.059351999999999995	0.0205111	0.039509086065573774	1e-06	0.5000001	0.5000001
LSM3	0.054795	0.025995099999999997	0.14369059624060151	7173.0	0.05965499999999999	0.0196741	0.038528445833333334	1e-06	0.5000001	0.5000001
CPEB4	0.10458800000000001	0.0260721	0.14369059624060151	7173.0	0.103175	0.0286441	0.04774016666666667	0.00065	0.36947009999999997	0.5000001
IFI44	0.099135	0.026562099999999998	0.14422236518518516	7173.0	0.09461	0.0328171	0.05282204452054795	0.00143	0.25707009999999997	0.5000001
ENTPD1	0.083601	0.026444099999999998	0.14422236518518516	7173.0	0.093705	0.0169931	0.03597140948275862	1e-06	0.5000001	0.5000001
PSMF1	0.0525	0.0271771	0.1443537268115942	7173.0	0.047636000000000005	0.0385751	0.05877877243589744	0.003667	0.0305001	0.34131064285714285
ITGAV	0.052621	0.026897100000000004	0.1443537268115942	7173.0	0.057225	0.021354099999999997	0.03982709126984126	1e-06	0.5000001	0.5000001
PA2G4	0.053347000000000006	0.027057099999999997	0.1443537268115942	7173.0	0.058713	0.0200841	0.039006309917355375	1e-06	0.5000001	0.5000001
CD3G	0.049254	0.027603099999999995	0.14556167122302158	7173.0						
ICAM1	0.052302999999999995	0.028255100000000002	0.14793563071428573	7173.0	0.053600999999999996	0.025888099999999997	0.04506447037037036	1e-06	0.5000001	0.5000001
SNRPD1	0.051724	0.0284661	0.14798334255319148	7173.0	0.053796000000000004	0.025507099999999998	0.04473260074626865	1e-06	0.5000001	0.5000001
FYB	0.054525	0.029002099999999996	0.1483108423611111	7173.0	0.055724	0.027378099999999995	0.04648959352517986	1e-06	0.5000001	0.5000001
NCKAP1L	0.049363	0.0287801	0.1483108423611111	7173.0						
COX17	0.058460000000000005	0.0291361	0.1483108423611111	7173.0	0.064438	0.0212741	0.03982709126984126	1e-06	0.5000001	0.5000001
CD53	0.051526999999999996	0.030564099999999997	0.15240466190476187	7173.0	0.056746000000000005	0.0225651	0.04150155078125	1e-06	0.5000001	0.5000001
SMAD4	0.068187	0.0305571	0.15240466190476187	7173.0	0.06995499999999999	0.028171099999999998	0.04728720357142857	1e-06	0.5000001	0.5000001
CPVL	0.071139	0.0305431	0.15240466190476187	7173.0	0.07697000000000001	0.023220099999999997	0.041974796153846146	1e-06	0.5000001	0.5000001
GGH	0.099993	0.0322591	0.15838712866666668	7173.0	0.101064	0.0305631	0.04987728125	1e-06	0.5000001	0.5000001
TCEB1	0.05329400000000001	0.032412100000000006	0.15838712866666668	7173.0	0.05658200000000001	0.0270831	0.04648959352517986	1e-06	0.5000001	0.5000001
NCF1	0.051378999999999994	0.0320251	0.15838712866666668	7173.0	0.056696	0.0236771	0.04247418702290076	1e-06	0.5000001	0.5000001
DCK	0.07874099999999999	0.0327331	0.15889643907284767	7173.0	0.085511	0.0241801	0.0430479053030303	1e-06	0.5000001	0.5000001
HAVCR2	0.059017999999999994	0.0332321	0.16025742960526318	7173.0	0.062309	0.0274981	0.04648959352517986	1e-06	0.5000001	0.5000001
SMURF2	0.07239	0.0340511	0.16196509870967746	7173.0	0.087056	0.0182241	0.03660396153846154	1e-06	0.5000001	0.5000001
EVI2B	0.05533	0.034249100000000005	0.16196509870967746	7173.0	0.061663	0.0249231	0.04403705639097744	1e-06	0.5000001	0.5000001
PSMD2	0.069339	0.0341491	0.16196509870967746	7173.0	0.071238	0.0319861	0.05183954137931035	0.00010700000000000001	0.4805301	0.5000001
NEO1	0.083873	0.0354681	0.1666545980769231	7173.0	0.081696	0.0415671	0.06029795370370371	0.001984	0.18226009999999998	0.5000001
ENO1	0.094888	0.036241100000000005	0.16920207834394907	7173.0	0.08104700000000001	0.0638391	0.07976832539682539	0.003885	0.0588901	0.5000001
CTSL	0.0821	0.0372301	0.17056321790123458	7173.0	0.087311	0.0290801	0.04802397552447553	1e-06	0.5000001	0.5000001
IL1A	0.055512	0.03724910000000001	0.17056321790123458	7173.0	0.052825	0.0410461	0.06029589130434783	0.001413	0.3214501	0.5000001
RBM14	0.053594	0.0373581	0.17056321790123458	7173.0	0.044610000000000004	0.058636100000000003	0.07571144780219781	0.005591	0.0168831	0.20881728947368422
T.cells.follicular.helper	0.056636	0.0376961	0.17056321790123458	7304.0	0.050894999999999996	0.0534771	0.07140408238636364	0.004077	0.027332099999999998	0.321152175
DYNLL2	0.075374	0.0375531	0.17056321790123458	7173.0	0.070839	0.045254100000000005	0.0637653502994012	0.001559	0.2541701	0.5000001
ITGB3	0.05702	0.0384171	0.17231319575757575	7173.0	0.056188999999999996	0.04119710000000001	0.06029589130434783	0.001443	0.2523601	0.5000001
OSBPL1A	0.09084600000000001	0.0386391	0.17231319575757575	7173.0	0.078461	0.0721781	0.08654006887755102	0.001807	0.10266009999999999	0.5000001
FAM216A	0.087007	0.0387881	0.17231319575757575	7173.0	0.09489600000000001	0.027221099999999998	0.04648959352517986	1e-06	0.5000001	0.5000001
RASSF2	0.048548	0.0395811	0.17477678493975904	7173.0						
BTK	0.045329	0.039836100000000006	0.17484946886227548	7173.0						
GZMH	0.059461	0.040542100000000005	0.17688904345238096	7173.0	0.054591999999999995	0.0554511	0.07320791292134832	0.001355	0.1611401	0.5000001
KRR1	0.074722	0.0428231	0.18368337017543862	7173.0	0.077124	0.0397621	0.059516519108280264	1e-06	0.5000001	0.5000001
IPO4	0.056372000000000005	0.0428431	0.18368337017543862	7173.0	0.057654	0.0413091	0.06029589130434783	0.000704	0.39206009999999997	0.5000001
PLAUR	0.08125399999999999	0.0428511	0.18368337017543862	7173.0	0.074921	0.0553921	0.07320791292134832	0.002022	0.19459010000000002	0.5000001
CTSS	0.074821	0.043463100000000005	0.18522355988372094	7173.0	0.089089	0.0231491	0.041974796153846146	1e-06	0.5000001	0.5000001
SEC24C	0.061623000000000004	0.0439881	0.186377325433526	7173.0	0.061564999999999995	0.0453141	0.0637653502994012	0.0013189999999999999	0.2820001	0.5000001
FAM167A	0.060619000000000006	0.0453211	0.19092164540229886	7173.0	0.069925	0.029223100000000002	0.04802397552447553	1e-06	0.5000001	0.5000001
APC	0.067129	0.045754100000000006	0.191644316	7173.0	0.071885	0.0383031	0.05877877243589744	1e-06	0.5000001	0.5000001
NCF4	0.062972	0.046281100000000006	0.19275026306818183	7173.0	0.07034299999999999	0.033555100000000004	0.0536425068027211	1e-06	0.5000001	0.5000001
MX1	0.08983	0.0474491	0.19649825028248588	7173.0	0.094976	0.0389271	0.05877877243589744	1e-06	0.5000001	0.5000001
PPIH	0.042664999999999995	0.0509451	0.20155579304812837	7173.0						
EOMES	0.041892	0.0511831	0.20155579304812837	7173.0						
PAICS	0.066045	0.0502051	0.20155579304812837	7173.0	0.059725	0.0670181	0.08202736197916667	0.001841	0.1624001	0.5000001
PSMB9	0.07295700000000001	0.0508511	0.20155579304812837	7173.0	0.025949	0.2629201	0.2698088362445415	0.020135	1.0136029999999999e-07	1.4011570882352941e-06
PSMD13	0.047318	0.05142010000000001	0.20155579304812837	7173.0						
LAPTM5	0.05124	0.050262100000000004	0.20155579304812837	7173.0	0.054423	0.042345100000000004	0.06104968404907976	1e-06	0.5000001	0.5000001
FGL2	0.038103	0.0502081	0.20155579304812837	7173.0						
CD28	0.054286	0.049589100000000004	0.20155579304812837	7173.0	0.060109	0.0389781	0.05877877243589744	1e-06	0.5000001	0.5000001
SLC7A7	0.053600999999999996	0.049438100000000006	0.20155579304812837	7173.0	0.05856	0.0383841	0.05877877243589744	1e-06	0.5000001	0.5000001
RAB6A	0.070232	0.0511821	0.20155579304812837	7173.0	0.066505	0.0595241	0.07602262771739131	0.001098	0.29643010000000003	0.5000001
WNT2B	0.054338	0.051858100000000004	0.20219142180851066	7173.0	0.04966	0.0637211	0.07976832539682539	0.002315	0.16159010000000001	0.5000001
LRP1	0.053441999999999996	0.052891099999999996	0.20404829631578944	7173.0	0.052891999999999995	0.0534011	0.07140408238636364	0.000202	0.4668901	0.5000001
CREBBP	0.044264	0.0527781	0.20404829631578944	7173.0						
TAP2	0.065064	0.05372010000000001	0.20535811554404146	7173.0	0.004211	0.4418801	0.4495317034632035	0.033122000000000006	1e-07	1.4011570882352941e-06
EIF4G1	0.055126	0.054071100000000004	0.20535811554404146	7173.0	0.061608	0.0408081	0.06029589130434783	1e-06	0.5000001	0.5000001
