Cancer,Covariates,Survival Analysis
ESCA,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'height', 'weight', 'alcohol_history_documented', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",PFS
HNSC,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'alcohol_history_documented', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",PFS
KICH,"['targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'N2_pathologic_N', 'Lifelong Non-smoker_tobacco_smoking_history']",PFS
KIRC,"['radiation_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'G4_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",PFS
KIRP,"['height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'N1_pathologic_N', 'N2_pathologic_N', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",PFS
LIHC,"['radiation_therapy', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'G4_neoplasm_histologic_grade', 'alcohol', 'NAFLD', 'hepatitis']",PFS
LUAD,"['radiation_therapy', 'targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",PFS
LUSC,"['radiation_therapy', 'targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",PFS
PAAD,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'targeted_molecular_therapy', 'alcohol_history_documented', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade', 'Current smoker_tobacco_smoking_history', 'Lifelong Non-smoker_tobacco_smoking_history']",PFS
READ,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N']",PFS
SKCM,"['radiation_therapy', 'height', 'weight', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N']",PFS
STAD,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'targeted_molecular_therapy', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'M1_pathologic_M', 'N1_pathologic_N', 'N2_pathologic_N', 'N3_pathologic_N', 'G2_neoplasm_histologic_grade', 'G3_neoplasm_histologic_grade']",PFS
TGCT,"['radiation_therapy', 'history_of_undescended_testis', 'T2_pathologic_T', 'N1_pathologic_N']",PFS
THCA,"['radiation_therapy', 'number_of_lymphnodes_positive_by_he', 'T2_pathologic_T', 'T3_pathologic_T', 'T4_pathologic_T', 'N1_pathologic_N', 'Minimal (T3)_extrathyroid_carcinoma_present_extension_status', 'Moderate/Advanced (T4a)_extrathyroid_carcinoma_present_extension_status', 'None_extrathyroid_carcinoma_present_extension_status']",PFS
